RegionName,StateName,City,Metro,CountyName,HomeValue,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
66701,KS,Fort Scott,,Bourbon County,75584.0,66701,12274.0,37.8,42816.0,22695.0,1939.0,15.797620987453152
54806,WI,Ashland,,Ashland County,117736.0,54806,11440.0,41.1,45185.0,25549.0,1802.0,15.751748251748252
48750,MI,Oscoda,,Iosco County,85645.0,48750,8629.0,49.0,43333.0,23836.0,1336.0,15.48267470158767
42445,KY,Princeton,,Caldwell County,72788.0,42445,10421.0,44.2,43355.0,28631.0,1788.0,17.157662412436427
64601,MO,Chillicothe,,Livingston County,118906.0,64601,11969.0,39.5,46316.0,23000.0,1858.0,15.523435541816358
28170,NC,Wadesboro,,Anson County,75799.0,28170,11187.0,40.6,32297.0,21221.0,2800.0,25.029051577724147
59923,MT,Libby,,Lincoln County,203214.0,59923,9230.0,52.4,39977.0,26186.0,1461.0,15.828819068255687
38320,TN,Camden,,Benton County,110172.0,38320,10506.0,47.3,36535.0,22376.0,2137.0,20.340757662288212
71351,LA,Marksville,,Avoyelles Parish,117552.0,71351,11063.0,36.4,38110.0,20680.0,3446.0,31.148874627135502
54451,WI,Medford,,Taylor County,155453.0,54451,11404.0,45.0,54199.0,29069.0,829.0,7.2693791652051925
38852,MS,Iuka,,Tishomingo County,109357.0,38852,9049.0,47.1,40938.0,22127.0,1531.0,16.918996574207096
75551,TX,Atlanta,,Cass County,113319.0,75551,11251.0,41.8,52546.0,24606.0,2043.0,18.158385921251444
59870,MT,Stevensville,,Ravalli County,396615.0,59870,11052.0,48.3,60986.0,34266.0,1237.0,11.192544335866813
12414,NY,Town of Catskill,,Greene County,219859.0,12414,9979.0,46.6,38498.0,26861.0,2190.0,21.946086782242713
52641,IA,Mount Pleasant,,Henry County,134971.0,52641,12247.0,38.9,54622.0,27630.0,1051.0,8.581693475953294
74301,OK,Vinita,,Craig County,106888.0,74301,11505.0,42.5,43683.0,22435.0,2110.0,18.339852238157324
74432,OK,Eufaula,,McIntosh County,95224.0,74432,9647.0,51.4,41812.0,25269.0,1733.0,17.964133927645896
35960,AL,Centre,,Cherokee County,132814.0,35960,9714.0,49.8,44189.0,27416.0,1189.0,12.240065884290715
29010,SC,Bishopville,,Lee County,83759.0,29010,12002.0,41.4,31091.0,19358.0,2444.0,20.363272787868688
28904,NC,Hayesville,,Clay County,209322.0,28904,8969.0,54.2,42477.0,30017.0,1333.0,14.862303489798196
27910,NC,Ahoskie,,Hertford County,117810.0,27910,11691.0,41.9,40263.0,22259.0,2725.0,23.308527927465573
84532,UT,Moab,,Grand County,415416.0,84532,10118.0,40.0,51506.0,27666.0,888.0,8.776438031231468
72160,AR,Stuttgart,,Arkansas County,89458.0,72160,9785.0,40.1,47063.0,26981.0,1650.0,16.862544711292795
49412,MI,Fremont,,Newaygo County,155245.0,49412,11419.0,40.1,55026.0,25277.0,1995.0,17.47088186356073
47006,IN,Batesville,,Ripley County,230659.0,47006,11880.0,40.5,64839.0,33567.0,944.0,7.946127946127946
28337,NC,Elizabethtown,,Bladen County,123886.0,28337,10574.0,39.1,32787.0,19473.0,3335.0,31.53962549650085
49738,MI,Grayling,,Crawford County,110752.0,49738,9854.0,50.5,48789.0,26415.0,1640.0,16.642987619240913
74960,OK,Stilwell,,Adair County,72633.0,74960,13455.0,34.8,33956.0,16324.0,3673.0,27.298402081010774
37879,TN,Tazewell,,Claiborne County,115559.0,37879,11059.0,43.7,35292.0,20103.0,2792.0,25.24640564246315
49740,MI,Harbor Springs,,Emmet County,306581.0,49740,7046.0,54.8,68028.0,43138.0,399.0,5.66278739710474
4976,ME,Skowhegan,,Somerset County,144278.0,4976,9770.0,46.0,45944.0,25598.0,1821.0,18.638689866939607
56649,MN,International Falls,,Koochiching County,109653.0,56649,9036.0,47.6,50815.0,31183.0,1217.0,13.468348826914566
28713,NC,Bryson City,,Swain County,188961.0,28713,8799.0,46.3,38506.0,23126.0,1268.0,14.410728491874075
66720,KS,Chanute,,Neosho County,65297.0,66720,11402.0,39.5,45000.0,23502.0,2363.0,20.724434309770214
30546,GA,Hiawassee,,Towns County,242563.0,30546,7199.0,58.6,50245.0,29505.0,934.0,12.974024170023615
50112,IA,Grinnell,,Poweshiek County,161206.0,50112,11411.0,38.8,52413.0,31093.0,1201.0,10.524932083077733
28657,NC,Newland,,Avery County,140221.0,28657,8651.0,49.1,36920.0,22896.0,1158.0,13.385735753092128
76230,TX,Bowie,,Montague County,123022.0,76230,9896.0,45.2,53490.0,29366.0,1549.0,15.652789005658851
58301,ND,Devils Lake,,Ramsey County,173200.0,58301,10381.0,38.6,57963.0,32961.0,1265.0,12.185723918697619
85344,AZ,Parker,,La Paz County,275138.0,85344,10495.0,41.1,40580.0,22564.0,2469.0,23.52548832777513
58854,ND,Watford City,,McKenzie County,274737.0,58854,9543.0,29.9,80214.0,39186.0,836.0,8.760347898983548
63670,MO,Sainte Genevieve,,Sainte Genevieve County,125960.0,63670,11017.0,45.2,57734.0,30748.0,1021.0,9.267495688481436
4915,ME,Belfast,,Waldo County,225218.0,4915,8839.0,45.7,56892.0,31772.0,1234.0,13.960855300373346
